id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
3536442,https://github.com/notepadqq/notepadqq,notepadqq,"A simple, general-purpose editor for Linux",2069,298,1090,1439,56,4110,2023-05-27T10:12:17Z,0,,,4,0,0,0
3957383,https://github.com/mihaifm/linq,linq,linq.js - LINQ for JavaScript,1625,224,110,125,16,4212,2023-10-19T16:49:44Z,0,,,1,0,0,0
4007018,https://github.com/Katello/katello,katello,Katello integrates open source systems management tools into a single solution for controlling the lifecycle of your machines.,370,282,10691,20625,155,4718,2024-05-15T17:24:44Z,0,,,3,0,0,0
4054838,https://github.com/zot/Leisure,Leisure,"Polyglot, document-based computing environment.  Leisure is very much in flux, right now; please check the readme, below.  For a taste of the new version, click the link below, but be warned that it only works in Chrome.",114,8,84,2013,6,4284,2023-02-07T17:42:12Z,0,,,4,0,0,0
4117355,https://github.com/mongo-express/mongo-express,mongo-express,"Web-based MongoDB admin interface, written with Node.js and express",5326,927,1518,1726,125,4397,2024-05-07T15:38:17Z,0,,,1,0,0,0
4254338,https://github.com/graphite-project/graphite-web,graphite-web,A highly scalable real-time graphing system,5829,1255,2830,4328,311,5682,2023-11-15T22:26:18Z,0,,,0,0,0,0
4268140,https://github.com/moment/moment-timezone,moment-timezone,Timezone support for moment.js,3786,830,1102,649,48,4288,2024-02-04T06:36:16Z,0,,,1,0,0,0
4473517,https://github.com/Countly/countly-server,countly-server,"Countly is a product analytics platform that helps teams track, analyze and act-on their user actions and behaviour on mobile, web and desktop applications.",5441,952,5209,20706,77,4370,2024-05-15T08:17:47Z,0,,,45,0,0,0
4475810,https://github.com/jshttp/cookie,cookie,HTTP server cookie parsing and serialization,1263,139,160,324,26,4353,2024-04-29T11:10:15Z,0,,,1,0,0,0
4890177,https://github.com/sitespeedio/sitespeed.io,sitespeed.io,"sitespeed.io is an open-source tool for comprehensive web performance analysis, enabling you to test, monitor, and optimize your website’s speed using real browsers in various environments.",4616,584,4099,9084,108,4331,2024-05-13T21:21:34Z,0,,,1,0,0,0
4909355,https://github.com/CartoDB/cartodb,cartodb,Location Intelligence & Data Visualization tool,2717,655,16441,77987,126,4629,2023-09-15T10:33:45Z,0,,,1,0,0,0
5022564,https://github.com/jsdelivr/jsdelivr,jsdelivr,"A free, fast, and reliable Open Source CDN for npm, GitHub, Javascript, and ESM",5339,2029,18541,81,10,2391,2023-11-23T15:08:35Z,0,,,0,0,0,0
5245894,https://github.com/ractivejs/ractive,ractive,Next-generation DOM manipulation,5935,401,3422,5741,61,4243,2024-03-14T00:27:08Z,0,,,2,0,0,0
5569059,https://github.com/mishoo/UglifyJS,UglifyJS," JavaScript parser / mangler / compressor / beautifier toolkit",12913,1234,5809,3322,115,3886,2023-01-16T13:30:59Z,0,,,1,0,0,0
5677202,https://github.com/deliciousbrains/wp-amazon-s3-and-cloudfront,wp-amazon-s3-and-cloudfront,Automatically copies media uploads to Amazon S3 for delivery. Optionally configure Amazon CloudFront for even faster delivery.,300,144,642,462,12,4179,2024-02-13T11:16:14Z,0,,,0,0,0,0
5694513,https://github.com/aws/aws-sdk-js,aws-sdk-js,AWS SDK for JavaScript in the browser and Node.js,7544,1549,4410,5910,187,4269,2024-05-14T18:25:15Z,0,,,1,0,0,0
5839692,https://github.com/webpack/webpack-dev-server,webpack-dev-server,Serves a webpack app. Updates the browser on changes. Documentation https://webpack.js.org/configuration/dev-server/.,7730,1426,5096,2628,264,4250,2024-05-07T12:55:15Z,0,,,1,0,0,0
6135596,https://github.com/archiverjs/node-archiver,node-archiver,a streaming interface for archive generation,2722,231,762,905,35,4170,2024-03-10T03:14:34Z,0,netlify,netlify,2,0,0,0
6175370,https://github.com/thsmi/sieve,sieve,Sieve Script Editor,717,56,909,2166,18,6459,2024-01-06T13:25:08Z,0,,,1,0,0,0
6498492,https://github.com/airbnb/javascript,javascript,JavaScript Style Guide,140995,26078,2877,1974,406,4175,2024-04-07T18:18:29Z,0,,,3,0,0,0
6698407,https://github.com/brownplt/pyret-lang,pyret-lang,The Pyret language.,1048,105,1719,6799,44,4193,2024-05-09T03:57:16Z,0,,,1,0,0,0
6720403,https://github.com/simple-icons/simple-icons,simple-icons,SVG icons for popular brands,17872,2446,10848,6648,430,4185,2024-05-02T22:51:07Z,0,,,2,0,0,0
6734135,https://github.com/ekohe/wulin_master,wulin_master,Wulin Master fight for enterprise problem,20,7,56,3218,10,4632,2024-04-09T06:54:13Z,0,,,0,0,0,0
6898387,https://github.com/apache/cordova-ios,cordova-ios,Apache Cordova iOS,2141,981,1411,3969,182,5746,2024-04-27T14:28:22Z,0,,,1,0,0,0
6954731,https://github.com/lzqwebsoft/heroku-blog,heroku-blog,使用Maven管理的轻巧型个人博客，基于Spring MVC与Hibernate，可用于部署在Heroku上。,8,6,6,514,-1,4168,2024-04-30T01:59:46Z,0,,,0,0,0,0
7045549,https://github.com/ENCODE-DCC/encoded,encoded,Metadata database for ENCODE project,109,53,4421,17300,47,4120,2024-03-15T16:57:32Z,0,,,2,0,0,0
7136784,https://github.com/rollbar/rollbar.js,rollbar.js,Error tracking and logging from Javascript to Rollbar,563,212,1136,1963,97,4115,2024-03-19T14:15:21Z,0,,,1,0,0,0
7323216,https://github.com/mhart/aws4,aws4,Signs and prepares Node.js requests using AWS Signature Version 4,676,172,163,145,9,4137,2024-04-23T12:05:09Z,0,,,2,0,0,0
7363211,https://github.com/knex/knex,knex,"A query builder for PostgreSQL, MySQL, CockroachDB, SQL Server, SQLite3 and Oracle, designed to be flexible, portable, and fun to use.",18640,2076,6071,3075,434,4154,2024-05-14T13:12:31Z,0,,,1,0,0,0
7431305,https://github.com/newrelic/node-newrelic,node-newrelic,"New Relic Node.js agent code base. Developers are welcome to create pull requests here, please see our contributing guidelines. For New Relic technical support, please go to http://support.newrelic.com.",955,380,2179,10010,112,4480,2024-05-14T15:57:46Z,0,,,1,0,0,0
7436098,https://github.com/igrep/igreque.info,igreque.info,My website,10,0,26,908,2,4120,2024-04-16T00:44:51Z,0,,,0,0,0,0
7876204,https://github.com/emberjs/ember-inspector,ember-inspector," Adds an Ember tab to the browser's Developer Tools that allows you to inspect Ember objects in your application.",975,297,2570,2415,121,4116,2024-05-06T13:11:58Z,0,,,2,0,0,0
7886579,https://github.com/olleicua/hcl,hcl,Hot Cocoa Lisp,34,4,33,141,2,3794,2023-06-05T05:36:16Z,0,,,1,0,0,0
7910045,https://github.com/badges/shields,shields,"Concise, consistent, and legible badges in SVG and raster format",22307,5426,9972,7277,442,3778,2024-05-07T18:23:18Z,0,,,4,0,0,0
7994556,https://github.com/vega/vega,vega,A visualization grammar.,10822,1467,3887,6435,135,4114,2024-05-10T22:44:39Z,0,,,35,0,0,0
8456659,https://github.com/SUSE/hackweek,hackweek,SUSE Hack Week tools and data,64,53,1522,2535,26,4094,2024-05-14T09:22:26Z,0,,,0,0,0,0
8507859,https://github.com/protobufjs/protobuf.js,protobuf.js,Protocol Buffers for JavaScript (& TypeScript).,9604,1372,1987,830,106,2722,2024-05-10T03:34:08Z,0,,,12,0,0,0
8576730,https://github.com/pa11y/pa11y,pa11y,Pa11y is your automated accessibility testing pal,3942,246,700,573,49,3242,2024-03-26T19:53:10Z,0,,,1,0,0,0
8629417,https://github.com/mapbox/mapbox-gl-js,mapbox-gl-js,"Interactive, thoroughly customizable maps in the browser, powered by vector tiles and WebGL",10673,2160,13088,11279,337,3975,2024-05-15T08:29:54Z,0,,,3,0,0,0
8635901,https://github.com/ternjs/tern,tern,"A JavaScript code analyzer for deep, cross-editor language support",4243,379,1054,1339,93,3900,2023-09-15T22:19:26Z,0,,,1,0,0,0
8815876,https://github.com/jmoenig/Snap,Snap,a visual programming language inspired by Scratch,1460,731,3357,7368,95,4071,2024-05-08T15:23:29Z,0,,,1,0,0,0
8842243,https://github.com/jishi/node-sonos-http-api,node-sonos-http-api,"An HTTP API bridge for Sonos easing automation. Hostable on any node.js capable device, like a raspberry pi or similar.",1807,462,890,537,61,3959,2024-01-18T11:09:53Z,0,,,1,0,0,0
8987608,https://github.com/florianholzapfel/express-restify-mongoose,express-restify-mongoose,Easily restify mongoose databases,640,154,463,911,47,4061,2024-05-06T13:59:35Z,0,,,1,0,0,0
9230316,https://github.com/scimusmn/stele,stele,Kiosk application for museum media exhibits,26,4,61,976,46,4008,2024-03-25T15:48:45Z,0,,,1,0,0,0
9385519,https://github.com/fantasyland/fantasy-land,fantasy-land,Specification for interoperability of common algebraic structures in JavaScript,9980,372,337,304,53,3911,2023-12-26T21:42:11Z,0,,,1,0,0,0
9489902,https://github.com/sidorares/node-mysql2,node-mysql2,:zap: fast mysqljs/mysql compatible mysql driver for node.js,3894,587,2577,2942,198,4038,2024-05-06T21:08:51Z,0,,,2,0,0,0
9645494,https://github.com/popeindustries/inline-source,inline-source,"Tool for inlining flagged js, css, and img sources in html",190,46,314,450,20,3859,2023-11-17T15:00:37Z,0,,,1,0,0,0
9709563,https://github.com/summernote/summernote,summernote,Super simple WYSIWYG editor,11343,2232,4630,3651,303,4000,2024-04-09T09:55:24Z,0,,,1,0,0,0
9739352,https://github.com/atsepkov/RapydScript,RapydScript,"Python-inspired, decluttered JavaScript",684,67,253,755,11,3741,2023-07-26T22:33:26Z,0,,,1,0,0,0
9933602,https://github.com/mbraak/django-file-form,django-file-form,Django-file-form helps you to write forms with a pretty ajax upload,149,37,863,1384,22,4019,2024-04-27T09:46:29Z,0,,,2,0,0,0
10064545,https://github.com/systemjs/systemjs,systemjs,Dynamic ES module loader,12834,1087,2476,2250,114,4016,2024-05-13T04:30:58Z,0,,,2,0,0,0
10140982,https://github.com/SitecorePowerShell/Console,Console,Sitecore PowerShell Extensions,115,71,1325,2675,22,4014,2024-05-15T00:08:43Z,0,,,0,0,0,0
10308334,https://github.com/mscdex/busboy,busboy,A streaming parser for HTML form data for node.js,2760,211,358,201,14,3701,2023-07-15T15:08:15Z,0,,,1,0,0,0
10433767,https://github.com/yegor256/dynamo-archive,dynamo-archive,"Archive and Restore DynamoDB Tables, from the Command Line",101,32,51,127,13,3854,2023-12-21T10:58:59Z,0,,,1,0,0,0
10546179,https://github.com/B3Partners/tailormap,tailormap,B3partners Tailormap (legacy) repository,29,38,2711,8607,16,4473,2024-01-25T12:58:22Z,0,,,1,0,0,0
10555401,https://github.com/giggio/node-chromedriver,node-chromedriver,An installer and wrapper for Chromedriver.,469,178,458,429,79,3993,2024-05-14T01:26:59Z,0,,,1,0,0,0
10572563,https://github.com/metarhia/impress,impress,Enterprise application server for Node.js and Metarhia private cloud ⚡,958,125,1923,2346,36,3975,2024-04-26T22:27:59Z,0,,,1,0,0,0
10851820,https://github.com/ramda/ramda,ramda,:ram: Practical functional Javascript,23535,1433,3400,3016,303,3979,2024-05-14T06:10:45Z,0,,,1,0,0,0
10888192,https://github.com/d3/d3-geo-projection,d3-geo-projection,Extended geographic projections for d3-geo.,1071,201,221,463,13,3638,2023-06-09T13:35:03Z,0,,,1,0,0,0
10999165,https://github.com/OptimalBits/bull,bull,Premium Queue package for handling distributed jobs and messages in NodeJS.,14976,1430,2547,2174,209,3975,2024-05-15T05:14:55Z,0,,,1,0,0,0
11195700,https://github.com/KaTeX/KaTeX,KaTeX,Fast math typesetting for the web.,17626,1139,3689,2147,151,3962,2024-05-10T18:27:52Z,0,,,6,0,0,0
11205780,https://github.com/motdotla/dotenv,dotenv,Loads environment variables from .env for nodejs projects.,18396,826,800,719,76,3960,2024-05-08T20:01:49Z,0,,,1,0,0,0
11308080,https://github.com/gamedig/node-gamedig,node-gamedig,Query game servers and not only! Node.JS/Deno or Bash (via the CLI).,568,140,561,653,42,3958,2024-05-11T16:36:07Z,0,,,1,0,0,0
11309292,https://github.com/yazz/yazz,yazz,Self Service Apps Without the IT Department,530,47,70,13155,5,3960,2024-05-10T11:29:46Z,0,,,2,0,0,0
